country,continent,lifeexp,population,gdp_per_cap
Albania,Europe,76.422997,3600523,5937
Argentina,Americas,75.32,40301927,12779
Australia,Oceania,81.235001,20434176,34435
Austria,Europe,79.829002,8199783,36126
Bahrain,Asia,75.635002,708573,29796
Belgium,Europe,79.441002,10392226,33693
Bolivia,Americas,65.554001,9119152,3822
Bosnia and Herzegovin,Europe,74.851997,4552198,7446
Brazil,Americas,72.389999,190010647,9066
Bulgaria,Europe,73.004997,7322858,10681
Canada,Americas,80.653,33390141,36319
Chile,Americas,78.553001,16284741,13172
Colombia,Americas,72.889,44227550,7007
Costa Rica,Americas,78.781998,4133884,9645
Croatia,Europe,75.748001,4493312,14619
Cuba,Americas,78.273003,11416987,8948
Czech Republic,Europe,76.486,10228744,22833
Denmark,Europe,78.332001,5468120,35278
Dominican Republic,Americas,72.235001,9319622,6025
Ecuador,Americas,74.994003,13755680,6873
Egypt,Africa,71.337997,80264543,5581
El Salvador,Americas,71.877998,6939688,5728
Finland,Europe,79.313004,5238460,33207
France,Europe,80.656998,61083916,30470
Germany,Europe,79.405998,82400996,32170
Greece,Europe,79.483002,10706290,27538
Guatemala,Americas,70.259003,12572928,5186
Haiti,Americas,60.916,8502814,1202
Honduras,Americas,70.197998,7483763,3548
Hungary,Europe,73.337997,9956108,18009
Iceland,Europe,81.757004,301931,36181
Iraq,Asia,59.544998,27499638,4471
Ireland,Europe,78.885002,4109086,40676
Israel,Asia,80.745003,6426679,25523
Italy,Europe,80.545998,58147733,28570
Jamaica,Americas,72.567001,2780132,7321
Japan,Asia,82.602997,127467972,31656
Jordan,Asia,72.535004,6053193,4519
Kuwait,Asia,77.587997,2505559,47307
Malaysia,Asia,74.240997,24821286,12452
Mauritius,Africa,72.801003,1250882,10957
Mexico,Americas,76.195,108700891,11978
Mongolia,Asia,66.803001,2874127,3096
Montenegro,Europe,74.542999,684736,9254
Morocco,Africa,71.164001,33757175,3820
Netherlands,Europe,79.762001,16570613,36798
New Zealand,Oceania,80.204002,4115771,25185
Nicaragua,Americas,72.899002,5675356,2749
Norway,Europe,80.195999,4627926,49357
Oman,Asia,75.639999,3204897,22316
Panama,Americas,75.537003,3242173,9809
Paraguay,Americas,71.751999,6667147,4173
Peru,Americas,71.420998,28674757,7409
Philippines,Asia,71.688004,91077287,3190
Poland,Europe,75.563004,38518241,15390
Portugal,Europe,78.098,10642836,20510
Puerto Rico,Americas,78.746002,3942491,19329
Reunion,Africa,76.442001,798094,7670
Romania,Europe,72.475998,22276056,10808
Sao Tome and Principe,Africa,65.528,199579,1598
Saudi Arabia,Asia,72.777,27601038,21655
Serbia,Europe,74.001999,10150265,9787
Singapore,Asia,79.972,4553009,47143
Slovenia,Europe,77.926003,2009245,25768
South Africa,Africa,49.339001,43997828,9270
Spain,Europe,80.941002,40448191,28821
Sri Lanka,Asia,72.396004,20378239,3970
Sweden,Europe,80.884003,9031088,33860
Switzerland,Europe,81.700996,7554661,37506
Thailand,Asia,70.615997,65068149,7458
Trinidad and Tobago,Americas,69.819,1056608,18009
Tunisia,Africa,73.922997,10276158,7093
Turkey,Europe,71.777,71158647,8458
United Kingdom,Europe,79.425003,60776238,33203
Uruguay,Americas,76.384003,3447496,10611
Zimbabwe,Africa,43.487,12311143,470
